video_id,title,description,published_at,channel_id,channel_title,category_id,tags,duration,definition,caption,view_count,like_count,dislike_count,favorite_count,comment_count
tPGHoOMKkuI,Fire Song (Tamil) - Lyrical | Kanguva | Suriya | Devi Sri Prasad | Siva | Viveka,"For more latest songs & videos, subscribe 👉 https://bit.ly/Saregama_Tamil

Feel the fierce of the ""Fire Song (Tamil)"" from 'Kanguva' starring Suriya, Disha Patani, Bobby Deol & others. Directed by Siva. Music Composed by 'Rockstar' Devi Sri Prasad.

Song Credits:-
Fire Song (Tamil)
Singers: VM. Mahalingam, Senthil Ganesh, Shenbagaraj & Deepthi Suresh
Lyrics: Viveka

Musicians:
Keyboards: KP & Vikas Badisa 
Rhythm: Kalyan
Chorus: Aravind Srinivas, Deepak Blue, Saisharan, Prasanna Adhisesha

Album Mixed & Mastered By A. Uday Kumar @ “Dsp Studio – Chennai”
Album Recorded By A. Uday Kumar, T. Uday Kumar & Suresh Kumar Taddi
Vocal Supervision: S. P. Abhishek
Orchestra In-Charge: V Murugan
Studio Asst: Pugalendhi, Bharat & Dhinakaran
Album Co-Ordinator: B. Manikandan

Movie Credits:
Starring : Suriya, Disha Patani, Bobby Deol & Others
Directed by : Siva
Director of Photography : Vetri Palanisamy
Music : 'Rockstar' Devi Sri Prasad
Art : Milan
Editor: Nishad Yusuf
Action : Supreme Sundar
Dialogues : Madan Karky
Writer : Adi Narayana
Lyrics : Viveka - Madan Karky
Recording Engineer-Lawrence Vishnu Sound and Vision Studios Pvt Ltd
Chief Co Director : R.Rajasekar
Costume Designer : Anu Vardhan (Suriya) Dhatsha Pillai
Costumes : Rajan
Makeup : Serina (Suriya) , Kuppusamy
Special Make up - Ranjith Ambadi
ADR: Vignesh Guru
Choreography : Shobi – Prem Rakshith
Sound Design : T Udhayakumar
Stills : C.H. Balu Publicity Design : Kabilan Chelliah
Colorist: K S Rajasekaran (Igene)
VFX Head : Harihara Suthan
Co-Directors : Hemachandraprabhu - Thirumalai
Associate Director : S Kannan – R Thilipan- Rajaram – S Nagendran
Production Controller : R.S. Sureshmaniyan
Production Executive : Rama Doss
Production Co-ordination : EV Dinesh Kumar
PRO : Suresh Chandra & Rekha D’One
Digital Partner : Mango Mass Media Pvt Ltd
Digital Promotions: Digitally & Whacked Out Media
Creative Promotions: BeatRoute
Executive Producer: A.G. Raja
Studio Green CEO G. Dhananjeyan
Co-Producer: Neha Gnanavelraja
Produced by : K.E. Gnanavelraja | Vamsi-Pramod
Banner : Studio Green | UV Creations

Lyrics:-
PALLAVI 
AAN:
AADHI NERUPPAEY
AARAATHE NERUPPAEY
MAAYA NERUPPAEY 
MALAI NERUPPAEY....
PAAYUM NERUPPAEY
PAADHAALA NERUPPAEY
KAAVAL NERUPPAEY
KAATTU NERUPPAEY...
AAN:
AADHI NERUPPAEY
AARAATHE NERUPPAEY
MAAYA NERUPPAEY 
MALAI NERUPPAEY....
PAAYUM NERUPPAEY
PAADHAALA NERUPPAEY
KAAVAL NERUPPAEY
KAATTU NERUPPAEY...
AAN:
MAN THOONRAA KAALATHTHAEY
MUN THOONRIYA MOOTHTHAK KUDI
YAAMAEY YAAMAEY
EN THOONRAA KAALATHTHAEY
ENNIKKAI PAARTHTHAK KUDI
YAAMAEY YAAMAEY
AADHITHTHEE CHOODARVELLAM
ANUYYAAMAL PAARTHTHAKKUDI
THEEMENRU THEETHTHINRU
THIEKKADAAI VAAZHUM KUDI
AAN:
VAA IRU THOOLEDUTHTHU VAA
KURU VAALEDUTHTHU VAA
ORU SOOLURAITHTHU VAA VAA
7
AAN:
VAA IRU THOOLEDUTHTHU VAA
KURU VAALEDUTHTHU VAA
ORU SOOLURAITHTHU VAA VAA VAA VAA
AAN:
AADHI NERUPPAEY
AARAATHE NERUPPAEY
MAAYA NERUPPAEY 
MALAI NERUPPAEY....
PAAYUM NERUPPAEY
PAADHAALA NERUPPAEY
KAAVAL NERUPPAEY
KAATTU NERUPPAEY...
AAN:
IDI IDITHTHADHU MAZHAIYADITHTHADHU ADITHTHADHU PUYALUM
MALAI UDAINTHEDHU ALAI ELUNTHEDHU ELUNTHEDHU PIRALAYAM
KALLOODUM MULLOODUM KAATROODUM PORAADI
PALLAANDU VAAZHUM INAM
PORI VILUNTHEDHU VANAM ERINTHEDHU ERITHTHADHU NADHIYUM 
MUKIL KARINTHEDHU NILAM CHARINTHEDHU THIRINTHEDHU PARUVAM
AANGAARA KOOTHTHAADI ANALUKKUL NEERAADI
MELERI VANTHA INAM
PEN:
VANNIMARAK KELAIYADHIRA VAARANANGAL ANITHIRALA 
KANNIMOOLA KAVULIYONNU KAALANJOLLUTHEY 
VEPPAALAIYIL CHOTTUM ANDHA VENGURUDHI PAAKKAIYILA
VEECHARUVAA VELKAMBU 
VEGAM KOODUDHE.....CHONAIYARUVI PAARAANGKALU MELIRUKKUM 
TEEKKURUVI
KORALEDUTHTHU KATHTHUDHAMMAA THEKKU THESAIYILAEY
CHENA PUDICHCHA NAATTU NARI
KOLA NADUNGA OADUDHAMMAA 
CHADASADAKKUM PERU NERUPPAA PAARTHTHA NODIYILA 
8
AAN:
VAA IRU THOOLEDUTHTHU VAA
KURU VAALEDUTHTHU VAA
ORU SOOLURAITHTHU VAA VAA
PEN:
VAA VAA
AAN:
VAA IRU THOOLEDUTHTHU VAA
KURU VAALEDUTHTHU VAA
ORU SOOLURAITHTHU VAA VAA VAA VAA
AAN:
AADHI NERUPPAEY
AARAATHE NERUPPAEY
MAAYA NERUPPAEY 
MALAI NERUPPAEY....
PAAYUM NERUPPAEY
PAADHAALA NERUPPAEY
KAAVAL NERUPPAEY
KAATTU NERUPPAEY...


Label: Saregama India Limited, A RPSG Group Company

 
To buy Carvaan, visit https://www.saregama.com/carvaan/tamil
To buy virus free original tracks, visit  https://www.saregama.com/musicstore
Follow us on: YouTube: https://www.youtube.com/user/Saregamatamil
Facebook: http://www.facebook.com/Saregamatamil
Twitter: https://twitter.com/saregamasouth​​

#FireSong #Kanguva #Suriya #BobbyDeol #DishaPatani #DeviSriPrasad #SaregamaTamil",2024-07-23T05:31:02Z,UCzee67JnEcuvjErRyWP3GpQ,Saregama Tamil,10,"['fire song', 'fire song tamil', 'fire song video', 'fire song kanguva', 'Kanguva', 'Kanguva Tamil movie', 'Suriya 42', 'Suriya', 'Suriya movies', 'Suriya Kanguva', 'Disha Patani', 'Kanguva movie', 'actor suriya', 'Devi Sri Prasad', 'Devi Sri Prasad songs', 'Tamil movies', 'Tamil Films', 'Tamil movies Latest', 'Siruthai Siva', 'kanguva songs', 'kanguva tamil songs', 'devi sri prasad songs', 'devi sri prasad tamil songs', 'devi sri prasad kanguva songs', 'dsp tamil songs']",PT3M42S,hd,false,4540059,139994,0,0,6985
k7tLllmRVu4,"Guardian (2024) New Released Full Hindi Dubbed Horror Movie | Hansika Motwani, Suresh Chandra Menon","Check out Our Blockbuster Horror Movie ""GUARDIAN"". It is the Hindi dubbed version of the TAMIL Blockbuster Movie ""GUARDIAN"". The film stars Hansika Motwani, Suresh Menon, Sriman and Rajendran in the lead roles.

Movie (Hindi Dubbed):- Guardian
Original Movie Name: Guardian in Tamil 
StarCast:- Venkatesh, Hansika Motwani, Suresh Chandra Menon and Sriman.
Music:- Sam C. S.
Producer:- Vijay Chandar  
Director:- Sabari, Guru Saravanan 

#guardianmovie #horrormovie #hansikamotwani 

Aparna, plagued by a lifetime of misfortune, unwittingly becomes the host to a vengeful spirit, which surprisingly brings positive changes to her life. However, the ghost harbours a secret motive. Will she discern its true purpose?

Disclaimer:- We are only the right holders of this content. Any opinions expressed in this Film may purely be of the director or the original producers but are not our personal opinions and we do not assume any responsibility or liability for the same.

Kindly subscribe to the channel and Press the BELL ICON to get Instant Notifications from RKD Studios. 

Subscribe To Our Channel:- https://www.youtube.com/channel/UCjBwQ6M9QyCgO5Pp-TQRFUA?sub_confirmation=1 

Follow Us On:-Facebook: https://www.facebook.com/RKDStudiosOfficial/

Instagram:-https://www.instagram.com/rkdstudios",2024-07-22T11:30:08Z,UCjBwQ6M9QyCgO5Pp-TQRFUA,RKD Studios,24,"['Guardian', 'Guardian full hindi dubbed action movie', 'Hansika Motwani movies', 'tamil hindi dubbed movies', 'action hindi dub movies', '2024 hindi movies', 'new', 'latest', 'guardian hindi dubbed movie', 'rkd studios', 'guardian movie hindi', 'guardian best action scenes', 'suresh chandra menon movies', 'horror latest hindi dubbed movies', 'hansika motwani horror movie', 'साउथ मूवी 2024', 'hansika motwani latest movies', 'hansika motwani thriller movies', 'sresh menon movie', '2024 new released movies']",PT1H36M58S,hd,true,2350435,45466,0,0,1312
f1FobBUfz1s,Kabhi Main Kabhi Tum Episode 5 | Fahad Mustafa | Hania Aamir | 22 July 2024 (Eng Sub) ARY Digital,"Kabhi Main Kabhi Tum | Episode 5 | Digitally Presented by Master Paints , Food Panda , Sunsilk & Skin White | Fahad Mustafa | Hania Aamir | 22 July 2024 | ARY Digital Drama 

The drama revolves around the concept of ‘Opposites Attract’ where Hania aka Sharjeena will portray the role of a bibliophile, topper and a sorted girl with a practical approach while Fahad’s character is a little laid-back.

Writer: Farhat Ishtiaq
Directed by: Badar Mehmood
 
Cast:
Fahad Mustafa as Mustafa
Hania Aamir as Sharjeena
Emmad Irfani as Adeel
Javed Sheikh as Iftekhar 
Bushra Ansari as Shagufta
Maya Khan as Sidra
Naeema Butt as Rubab
Tauseeq Haider,
Yousuf Bashir Qureshi.

Watch Kabhi Main Kabhi Tum every Monday & Tuesday at 8 :00 PM on ARY Digital

#kabhimainkabhitum  #fahadmustafa  #haniaaamir  #emmadirfani  #javedsheikh  #bushraansari  #mayakhan  #NaeemaButt

Pakistani Drama Industry's biggest Platform, ARY Digital, is the Hub of exceptional and uninterrupted entertainment. You can watch quality dramas with relatable stories, Original Sound Tracks, Telefilms, and a lot more impressive content in HD. Subscribe to the YouTube channel of ARY Digital to be entertained by the content you always wanted to watch.

Subscribe: https://bit.ly/2PiWK68

Join ARY Digital on Whatsapp
 👉 https://bit.ly/3LnAbHU",2024-07-22T16:00:08Z,UC4JCksJF76g_MdzPVBJoC3Q,ARY Digital HD,24,"['Kabhi Main Kabhi Tum episode 05', 'watch Kabhi Main Kabhi Tum ep 05', 'kabhi main kabhi tum new drama', 'new drama kabhi mein kabhi tum', 'Kabhi Main Kabhi Tum ary digital', 'ary digital Kabhi Main Kabhi Tum episode 05', 'New Drama Fahad Mustafa kabhi main kabhi tum', 'Kabhi Main Kabhi Tum', 'ARY Digital', 'ARY', 'Fahad Mustafa', 'Hania Aamir', 'Emmad Irfani', 'Maya Khan', 'Javed Sheikh', 'Bushra Ansari', 'Pakistani drama 2024', 'hra Ansari', 'Pakistani drama 2024 Kabhi Main Kabhi Tum ep 05']",PT42M45S,hd,true,3621652,61320,0,0,2431
mPGhjA0vaKw,Idhayam | Premiere Ep 284 Preview - Jul 23 2024 | Tamil | ZEE5,"Watch tomorrow’s Premiere Episodes of ZEE Tamil TV serials today on ZEE5. Get the best of ZEE5 Originals, popular Alt Balaji shows, 1000+ superhit movies, favourite Zindagi shows, popular kids entertainment, Live TV channels and more.

Watch Full Episodes on ZEE5: https://www.zee5.com/tvshows 

• DOWNLOAD the App now
• Playstore: https://play.google.com/store/apps/details?id=com.graymatrix.did 
• iTunes: https://itunes.apple.com/in/app/ozee-tv-shows-movies-more/id743691886 

Join ZEE5 now - https://www.zee5.com/myaccount/subscription?plid=0-11-1503&utm_source=yt&utm_medium=ref&utm_campaign=subscription",2024-07-22T10:43:54Z,UCXOgAl4w-FQero1ERbGHpXQ,ZEE5,24,"['zee5', 'zee5 originals', 'zee5 latest series', 'zee5 new web series', 'zee5 series', 'latest ott release', 'new ott release', 'zee5 upcoming content', 'zee5 app', 'zee5 movies', 'zee5 web series zee5 ott', 'zee5 latest trailer', 'latest movie trailer', 'latest web series trailer', 'trending', 'recently uploaded', 'new to you', 'new series on zee5', 'latest on zee5', 'trending on youtube', 'youtube shorts', '2024 upcoming web series', 'recently trending', 'how to upload zee5 app', 'latest', 'new', 'hindi web series', 'shorts']",PT1M43S,hd,false,925738,7577,0,0,107
5IW6rUvr_yo,Vindhya Vihari | Ep - 9 | Prasad Behara | Bramarambika Tutika | Telugu Web Series | Infinitum Media,"Download Frnd App: https://frndapp.onelink.me/Td7S/infinitumromcom

For Brand Inquiries & Collaborations 
Email us at brands@infinitumnetwork.in

""Vindhya Vihari"" is a Telugu Romcom Web Series Featuring Prasad Behara & Bramarambika Tutika as leads.

Cast: Prasad Behara, Bramarambika Tutika, Reenu, Revathi Nath, KP Kalidindi, Chinna.

Produced by Vandana Bandaru
                       
Written and Directed by Prasad Behara

Co-Director : Madhan Mohan Majji

Brands Manager: Bhargav.T 

DOP: Dinesh Paruchuri  

Editing: Chinna

Title Animation: Rishi

Publicity Designer: Shiva Krishna

Sound Engineer: Venkat, Bhaskar, Guru. 

Line Producer: Jayanth Patnam

Executive Producer: Chandu JC

#VindhyaVihari #PrasadBehara #BramarambikaTutika #InfinitumMedia #TeluguWebSeries2024 

Follow Prasad Behara on Instagram 👇👇👇
https://instagram.com/prasad.behara?igshid=MzRlODBiNWFlZA==",2024-07-22T12:55:58Z,UCOJlrO9zmDYSlIKrwbUg1hQ,Infinitum RomCom,24,"['vindhya vihari', 'vindhya vihari web series', 'prasad behara', 'bramarambika tutika', 'prasad behara bramarambika tutika', 'prasad behera videos', 'prasad behara videos', 'prasad behara web series', 'prasad behara latest episode', 'prasad behara vindhya vihari', 'prasad behara ringtone', 'telugu web series 2024', 'telugu short films 2024', 'latest telugu short films 2024', 'short films telugu new', 'telugu comedy short films latest', 'telugu new short films 2024', 'short films 2024', 'vindhya vihari episode 9']",PT18M13S,hd,false,1401133,83445,0,0,1682
ow2Jxem9o7E,VIKRANT REDDY | TOP REAL TEAM | TRT,"Download Zupee and win Real cash https://app.adjust.com/1e4efgxa?redirect=https%3A%2F%2Fwww.zupee.com%2F

Use Promocode TRT15 to get Rs 15 signup bonus

#SadiyonSeIndiaKaApnagame
#IndiaKaApnaGame #ZupeeLudo

I HOPE IN ENJOY THIS VIDEO 


 https://www.instagram.com/top_real_team/
🔺️https://www.facebook.com/Toprealteam/
🔺️https://twitter.com/TopRealTeam1?s=09


Script Team :- Top Real Team
DOP, VFX & Editing- @anshulxiom @cinemafyworld 
Production Management - Shoaib￼ Shakeel & Aman Bajwa 

CHARACTERS : 
 VINOD                               - Aamir.trt
 VIKRANTREDDY               - Danish.trt
 VIVEK                                - Nadir.trt
 BHARAV.                           - Faizan.trt
 
 MAKEUP ARTIST   - RAFI TAJ SALOON 

Disclaimer
This channel does not promote any illegal content, all
content provided by this channel is meant for
EDUCATIONAL purpose only.
Copyright Disclaimer under section 107 of the copyright
Act 1976, allowance is made for ""fair use"" for purposes
such as criticism, comment, news reporting, teaching,
scholarship, and research. Fair use is a use permitted by
copyright statue that might otherwise by infringing. Non
profit, educational or personal use tips the balance in
favour of fair use.",2024-07-21T07:37:25Z,UCodBDtYUuhigSVKksHpYMTw,Top Real Team,24,"['round2hell', 'Aamir trt', 'trt', 'zyan saifi', 'r2h', 'toprealteam', 'harsh biniwal', 'epl', 'epl 3', 'carryminati', 'puravjha', 'bio cinema', 'elvish yadav', 'biggbos', 'biggboss', 'biggboss ott', 'aamir', 'trt video new', 'stree2', 'swagger Sharma']",PT48M42S,hd,false,3958488,355911,0,0,22887
BGy3EbyMmfU,Sawan Somvar Vrat Katha : आज के दिन यह चमत्कारी कथा सुनने से भोलेनाथ सभी मनोकामना पूर्ण करते है,"#trimurtibhakti 
Sawan Somvar Vrat Katha : आज के दिन यह चमत्कारी कथा सुनने से भोलेनाथ सभी मनोकामना पूर्ण करते है 


Title : Sawan Somvar Vrat Katha
singer : Ds Pal 7355751467
Lyrics : Fauji Suresh Panchal
Music Composer : Hansraj Railhan
Music : Sonotek
Edit : Rakhi Nautiyal
Label : Trimurti Bhakti

#sawankatha 
#kanwaryatra 
#katha 
#bholekikawad 



Sawan Somvar Vrat Katha,
Kawad Katha,
कांवड़ की चमत्कारी कथा,
कांवड़ कथा,
2024 Sawan Special,
Kanwar Katha,
Kahani Kanwad Ki Katha Kanwad Ki,
Top Shiv Bhajan,Sawan Special Katha,
Kahani Kanwad Ki,
Kanwad Katha,
Sawan Special Kanwad Katha,
Shiv Kawad Ki Kahani,
Kawad Ki Katha Sunao,
Nirdhan Ki Kawad Yatra,
Kahani Suno Kawad Ki,
Sawan Special Kawad Ki Katha,
2024 Kawad Yatra,
Kawad Ki Katha,
Kanwad Ki Mahima Katha,
Shiv Kawad Katha,
Sawan Ki Kawad Katha,
Sawan Katha,
Kawad Katha Sunao",2024-07-21T22:30:00Z,UCVhgR0R_67-i_dpb1p5ALww,Trimurti Bhakti,10,"['Trimurti Bhakti', 'Trimurti Bhakti Katha sagar', 'Katha Khajana', 'Sawan Somvar Vrat Katha', 'Kawad Katha', 'कांवड़ की चमत्कारी कथा', 'कांवड़ कथा', '2024 Sawan Special', 'Kanwar Katha', 'Kahani Kanwad Ki Katha Kanwad Ki', 'Top Shiv Bhajan', 'Sawan Special Katha', 'Kahani Kanwad Ki', 'Kanwad Katha', 'Sawan Special Kanwad Katha', 'Shiv Kawad Ki Kahani', 'Kawad Ki Katha Sunao', 'Nirdhan Ki Kawad Yatra', 'Kahani Suno Kawad Ki', 'Kawad Ki Katha', 'Shiv Kawad Katha', 'Sawan Katha', 'Kawad Katha Sunao']",PT28M9S,hd,false,1629195,12752,0,0,1595
bkp1RMnVgbU,"CLIMBING TO THE TOP, BUT WE'RE CHAINED TOGETHER","CLIMBING TO THE TOP, BUT WE'RE CHAINED TOGETHER
#ujjwal #technogamerz 

Share, Support, Subscribe!!!
Subscribe: http://bit.ly/ujjwalgamer
Discord : https://bitly.com/ujjwaldiscord
Youtube: https://www.youtube.com/c/TechnoGamerzOfficial
Twitter:  https://www.twitter.com/ujjwalgamer
Facebook: https://www.facebook.com/technogamerz
Facebook Myself: https://www.facebook.com/ujjwalgamer
Instagram: https://instagram.com/ujjwalgamer

Business Email : technogamerzofficial@gmail.com

About : Ujjwal Gamer is a channel where I post gaming videos & live stream everyday.",2024-07-21T12:25:31Z,UCl_vAxZpvbO-PFXdDu7EdHw,Ujjwal,20,"['chained together', 'gameplay', 'speedrun', 'funny', 'moments', 'challenge', 'puzzle', 'ujjwal', 'techno gamerz']",PT46M57S,hd,false,2294468,114116,0,0,5319
ibKT6ncwulM,House of the Dragon Season 2 | Episode 7 Preview | Max,"Whose side are you on? A new episode of the HBO Original Series #HouseOfTheDragon is now streaming on @StreamOnMax. 

About Max:
Max is the culture-defining entertainment service for every mood. With a variety of genres that include your favorite series and movies from iconic brands and treasured franchises, it delivers irresistible stories every time. From reuniting with life-long favorites to uncovering new ones you haven’t discovered yet, there's something for every moment, every feeling, every you.

It’s all here. Iconic series, award-winning movies, fresh originals, and family favorites featuring the worlds of Harry Potter, the DC Universe, and HBO. Discover the best entertainment for every mood. Introducing Max – the one to watch.
#WarnerBrosDiscovery #streamonmax #theonetowatch

SUBSCRIBE TO MAX
https://streamonm.ax/3vgR69B

GET MAX
https://streamonm.ax/4a83GYO

FOLLOW MAX
Follow Max on YouTube: https://streamonm.ax/YouTube
Follow Max on Instagram: https://streamonm.ax/Instagram
Follow Max on TikTok: https://streamonm.ax/TikTok
Follow Max on Twitter: https://streamonm.ax/Twitter
Follow Max on Facebook: https://streamonm.ax/Facebook",2024-07-22T02:00:17Z,UCx-KWLTKlB83hDI6UKECtJQ,Max,24,"['max', 'hbo max', 'hbo', 'max originals', 'max streaming', 'max service', 'max app', 'max videos', 'max trailer', 'max teaser', 'max clip', 'hbo originals', 'house of the dragon', 'house of the dragon season 2', 'rhaenyra targaryen', 'house targaryen', 'team black', 'rhaenys targaryen', 'aegon targaryen', 'team green', ""emma d'arcy"", 'olivie cooke', 'alicent hightower', 'tom glynn carney', 'eve best', 'house velaryon', 'corlys velaryon', 'steve toussaint', 'daemon targayen', 'dragons', 'HOTD', 'GoT', 'ASOIAF', 'targaryen dragons', 'meyleys']",PT1M7S,hd,true,2258082,29054,0,0,3131
Z7_NNgXbyR4,Realme 13 Pro plus is here - Ultra clear camera vs DSLR,"Realme 13 pro+ aa gaya hai dslr level camera k sath...

aaj is video mein camera test krte hai realme ke new smartphone realme 13 pro plus ka side by side compare krenge dslr se jange bhai aakhir kaisa hai iska camera detailed mein.

#realme13ProPlus #realme13Pro #TechnologyGyan #ManojSaru #realme13proseries5g #ultraclearcamerawithai  

* The Device shown in the video has been provided by respective brand. however first impressions & opinion completely personal & based on my usage *

My Second channel Subscribe Now
https://www.youtube.com/channel/UCrkP7L7oieiejXdQHWLqYIg

Facebook : https://www.facebook.com/Technologygyanco/
Twitter : https://twitter.com/ManojSaru
instagram : https://www.instagram.com/manojsaru/

Subscribe Our Channel For More Videos 
https://www.youtube.com/c/TechnologyGyan

Smartphones Unboxing & Reviews Video : 
https://www.youtube.com/playlist?list=PL0W2eFwhS9h6Cw0PUmKFoTiKAITx0PMWu

New Videos Check This
https://www.youtube.com/playlist?list=PL0W2eFwhS9h7MFAP3o_hlBcHY0YzkUuOc

internet tips & Tricks Videos
https://www.youtube.com/playlist?list=PL0W2eFwhS9h6951p1BS65NPWvXP0P76Sq

Computer Tips & Tricks 
https://www.youtube.com/playlist?list=PL0W2eFwhS9h5FvaL4QecdYyRSF_rTbjIY

Android Mobile Tips & Tricks
https://www.youtube.com/playlist?list=PL0W2eFwhS9h6QpQtQw8WloMPDrgvvJC_L

Technology Gyan All Videos
https://www.youtube.com/playlist?list=PL0W2eFwhS9h53ltlzVyL7hRgHmhFLTGn-

Manoj Saru",2024-07-22T06:31:28Z,UC1tVU8H153ZFO9eRsxdJlhA,Technology Gyan,28,"['realme 13 pro plus', 'realme 13 pro+', 'realme 13 pro+ 5g', 'realme 13 pro plus unboxing', 'realme 13 pro plus 5g unboxing & quick review', 'realme 13 pro plus Camera review', 'realme 13 pro plus camera vs DSLR', 'realme 13 pro plus review', 'realme 13 pro+ Technology Gyan', 'realme 13 pro+ manoj saru', 'realme 13 pro']",PT13M9S,hd,false,613547,30006,0,0,1622
